# generated 2026-08-18 08:22:05 EDT
# stage 2: intraday signal-rate screen
#   stage = 2
#   candidates_in = universe_tight.csv
#   feed = sip
#   sample_days = 5
#   rsi_period = 14
#   entry_level (filtered on) = 20.0
#   entry_levels (counted) = 10,15,20,25,30,35,40
#   min_signals_per_day = 0.2
#   rank_by = choppy
#   top = 30
#   rows = 30
#
symbol,name,leveraged,price,dollar_vol,daily_range_pct,efficiency_ratio,sessions,median_spread_pct,p90_spread_pct,n_quotes,range_per_spread,sample_days,sig_per_day_10,sig_per_day_15,sig_per_day_20,sig_per_day_25,sig_per_day_30,sig_per_day_35,sig_per_day_40,signals_per_day,intraday_efficiency,avg_bars_per_day
PG,Procter & Gamble Company,no,148.43,1265690457,1.827,0.0458,42,0.0206,0.0548,3741,88.7,5,0.0,0.0,0.2,1.0,3.8,9.0,14.2,0.2,0.0167,390
SOXQ,Invesco Exchange-Traded Fund Trust II Invesco PHLX Semicondu,no,98.31,240499877,3.696,0.0215,42,0.0418,0.0955,5930,88.4,5,0.0,0.2,0.4,2.0,7.0,10.6,17.4,0.4,0.0167,371
RGTI,"Rigetti Computing, Inc. Common Stock",no,16.95,404726139,7.32,0.0765,42,0.059,0.0606,5472,124.1,5,0.0,0.0,0.2,0.6,2.4,8.2,16.8,0.2,0.0169,391
ADM,Archer Daniels Midland Company,no,79.27,265365096,2.339,0.0703,42,0.0636,0.1568,1699,36.8,5,0.0,0.0,0.6,1.6,4.6,6.8,12.6,0.6,0.0172,385
MET,"MetLife, Inc.",no,91.66,357725029,1.819,0.2682,42,0.0513,0.1443,1169,35.5,5,0.0,0.0,0.4,2.2,6.0,10.6,16.6,0.4,0.0181,386
OXY,Occidental Petroleum Corporation,no,54.2,474776519,2.42,0.0044,42,0.0354,0.0542,5694,68.4,5,0.0,0.0,0.4,0.8,3.2,7.6,19.4,0.4,0.0188,391
DLTR,Dollar Tree Inc. Common Stock,no,123.13,320625268,3.185,0.207,42,0.0688,0.3326,506,46.3,5,0.0,0.0,0.6,2.0,4.4,9.4,12.4,0.6,0.0191,363
IREN,IREN Limited Ordinary Shares,no,41.21,1736526177,8.706,0.1457,42,0.0496,0.0766,5929,175.5,5,0.0,0.0,0.8,1.2,4.2,9.8,18.6,0.8,0.0198,391
RDW,Redwire Corporation,no,10.68,205068032,8.205,0.0826,42,0.0846,0.1618,5347,97.0,5,0.0,0.4,0.6,1.8,4.2,8.0,15.8,0.6,0.0221,391
CHWY,"Chewy, Inc.",no,20.7,196047444,4.079,0.1497,42,0.0422,0.0845,3008,96.7,5,0.0,0.0,0.4,1.8,5.4,10.2,13.8,0.4,0.0241,390
BAI,iShares A.I. Innovation and Tech Active ETF,no,46.0,178340822,3.576,0.0372,42,0.0453,0.1322,5820,78.9,5,0.0,0.0,1.0,2.4,5.2,10.4,14.4,1.0,0.0241,389
WCN,"Waste Connections, Inc.",no,167.5,233209225,2.069,0.1143,42,0.067,0.2683,465,30.9,5,0.0,0.2,0.8,1.2,3.4,5.6,11.2,0.8,0.0245,309
VST,Vistra Corp.,no,157.15,681007865,4.255,0.0259,42,0.0919,0.1954,1824,46.3,5,0.0,0.0,0.4,0.4,3.4,7.8,16.8,0.4,0.0255,390
RKLB,Rocket Lab Corporation Common Stock,no,81.18,1494832158,7.822,0.1545,42,0.0798,0.1358,5524,98.0,5,0.0,0.0,0.2,1.2,3.2,10.2,16.6,0.2,0.0262,391
FWONK,Liberty Media Corporation Series C Liberty Formula One Commo,no,96.72,177872717,2.597,0.2828,42,0.0907,0.403,602,28.6,5,0.0,0.0,0.2,1.2,3.2,6.8,14.2,0.2,0.0264,363
KGC,Kinross Gold Corporation,no,23.89,195141929,3.336,0.0698,42,0.0388,0.0396,5138,86.0,5,0.0,0.0,0.6,2.6,4.4,8.4,13.4,0.6,0.0265,390
AG,FIRST MAJESTIC SILVER CORP,no,16.82,181257712,4.684,0.0677,42,0.0567,0.0582,5290,82.6,5,0.0,0.0,0.2,1.8,5.0,9.6,16.6,0.2,0.0276,390
AEE,Ameren Corporation,no,111.62,176698829,1.866,0.0201,42,0.0648,0.1562,847,28.8,5,0.0,0.0,0.2,0.2,2.8,6.6,10.8,0.2,0.0276,336
PEG,Public Service Enterprise Group Incorporated,no,79.79,232785121,1.753,0.0985,42,0.0399,0.0795,2634,43.9,5,0.0,0.2,0.8,1.2,3.2,6.2,12.8,0.8,0.028,381
DOC,"Healthpeak Properties, Inc.",no,21.66,138815577,2.075,0.0772,42,0.0469,0.0923,3006,44.2,5,0.0,0.4,1.0,1.6,3.0,6.2,16.4,1.0,0.0283,381
GDXJ,VanEck Junior Gold Miners ETF,no,98.93,513771959,3.183,0.1306,42,0.0275,0.0551,5953,115.7,5,0.0,0.0,0.4,1.2,5.8,8.6,16.0,0.4,0.0285,390
EEM,iShares MSCI Emerging Markets ETF,no,65.72,1653382363,1.639,0.011,42,0.0153,0.0154,5717,107.1,5,0.0,0.2,0.8,2.6,6.6,10.6,15.6,0.8,0.0286,391
XRT,State Street SPDR S&P Retail ETF,no,87.89,414230530,1.739,0.1456,42,0.0111,0.0537,5663,156.7,5,0.0,0.2,0.4,2.0,5.2,11.6,14.4,0.4,0.029,388
CHYM,"Chime Financial, Inc. Class A Common Stock",no,21.01,107300304,5.658,0.4144,42,0.0386,0.0995,5519,146.6,5,0.0,0.0,0.4,2.2,4.6,7.8,16.8,0.4,0.029,391
AFL,Aflac Inc.,no,121.7,249961635,1.581,0.1946,42,0.0401,0.1354,1190,39.4,5,0.0,0.0,0.6,0.6,2.6,12.6,13.6,0.6,0.0295,383
NI,NiSource Inc.,no,46.67,210941884,1.802,0.1657,42,0.0236,0.094,3181,76.4,5,0.0,0.0,0.4,1.0,3.8,8.6,14.0,0.4,0.0296,390
SO,The Southern Company,no,95.15,512725416,1.888,0.0008,42,0.0324,0.0759,2329,58.3,5,0.0,0.0,0.4,0.6,3.6,8.2,13.6,0.4,0.0301,389
APLD,Applied Digital Corporation Common Stock,no,31.21,652014349,7.8,0.2065,42,0.0681,0.1305,5967,114.5,5,0.0,0.2,0.4,1.6,3.4,8.4,13.4,0.4,0.0306,391
ON,ON Semiconductor Corporation Common Stock,no,91.78,1037430518,5.3,0.1944,42,0.0617,0.1256,4403,85.9,5,0.0,0.2,0.4,2.2,7.0,11.6,18.4,0.4,0.0308,390
GDX,VanEck Gold Miners ETF,no,75.75,1572120259,3.019,0.1342,42,0.012,0.0239,5788,251.6,5,0.0,0.0,0.6,3.0,6.4,8.2,14.0,0.6,0.0312,391
